gene	contrast	mean_difference_adverse_minus_reference	hedges_g	exact_two_sided_permutation_p	BH_FDR_within_contrast
DIO1	uptake_failure	0.198482911240325	0.159875022717792	0.749563191613279	0.969849021101205
DIO1	response_failure_with_uptake	0.231111981112692	0.230686865896018	0.740181268882175	0.924874118831823
DIO2	uptake_failure	-0.830629793473975	-0.808229542857921	0.140361094933023	0.740827023878858
DIO2	response_failure_with_uptake	0.341625585865214	0.28421206012688	0.622356495468278	0.924874118831823
DUOX1	uptake_failure	-0.298819039847767	-0.256259386272933	0.623179965055329	0.969849021101205
DUOX1	response_failure_with_uptake	0.0235481451884452	0.0205950519022733	0.978851963746224	0.978851963746224
DUOX2	uptake_failure	-0.248311428069556	-0.220831196950139	0.663366336633663	0.969849021101205
DUOX2	response_failure_with_uptake	0.119843324990951	0.107481370811263	0.86404833836858	0.924874118831823
FOXE1	uptake_failure	0.195115208246404	0.183859361042352	0.739079790331974	0.969849021101205
FOXE1	response_failure_with_uptake	-0.0960401861244226	-0.0928438045557487	0.867069486404834	0.924874118831823
GLIS3	uptake_failure	0.151293689298839	0.140202456084461	0.788002329644729	0.969849021101205
GLIS3	response_failure_with_uptake	0.196407302717453	0.156404373362591	0.791540785498489	0.924874118831823
NKX2-1	uptake_failure	0.773339774185571	0.710448789654293	0.185206755969715	0.740827023878858
NKX2-1	response_failure_with_uptake	-0.231957501333478	-0.232296353784911	0.685800604229607	0.924874118831823
PAX8	uptake_failure	0.0339435443588647	0.029859706553278	0.973209085614444	0.973209085614444
PAX8	response_failure_with_uptake	-0.205167022352819	-0.245559309547593	0.688821752265861	0.924874118831823
SLC26A4	uptake_failure	-1.0833875568086	-1.11347732268983	0.0559114735002912	0.740827023878858
SLC26A4	response_failure_with_uptake	0.268836689327887	0.257382558825174	0.637462235649547	0.924874118831823
SLC5A5	uptake_failure	0.341255041112182	0.339363255555024	0.525334886429819	0.969849021101205
SLC5A5	response_failure_with_uptake	-0.477700722787374	-0.430137939797612	0.45619335347432	0.924874118831823
SLC5A8	uptake_failure	-0.0596839040741618	-0.0505685965889063	0.9231217239371	0.973209085614444
SLC5A8	response_failure_with_uptake	0.431280228559801	0.399294336404902	0.510574018126888	0.924874118831823
TG	uptake_failure	-0.6500641629357	-0.598962877325613	0.298776936517181	0.79673849737915
TG	response_failure_with_uptake	0.215731305066437	0.265129232551083	0.700906344410876	0.924874118831823
THRA	uptake_failure	-0.46467540880161	-0.442062015485558	0.403028538147932	0.921208087195274
THRA	response_failure_with_uptake	0.98638473503532	0.788455363340898	0.193353474320242	0.924874118831823
THRB	uptake_failure	0.85015448176914	0.772833017911603	0.163657542224811	0.740827023878858
THRB	response_failure_with_uptake	0.295530125947596	0.305534835304535	0.583081570996979	0.924874118831823
TPO	uptake_failure	-0.60470692542045	-0.563127771677016	0.292952824694234	0.79673849737915
TPO	response_failure_with_uptake	0.202296946531437	0.164092778200625	0.788519637462236	0.924874118831823
TSHR	uptake_failure	-0.0609662951802807	-0.0509896971308894	0.904484566103669	0.973209085614444
TSHR	response_failure_with_uptake	0.240624987283924	0.254287944402502	0.682779456193353	0.924874118831823
