contrast	signature_id	orientation	role	adverse_group	reference_group	n_adverse	n_reference	mean_difference	bootstrap_ci_low	bootstrap_ci_high	hedges_g	adverse_aligned_hedges_g	exact_permutation_p	lopo_min_hedges_g	lopo_max_hedges_g	lopo_direction_stability	genes_requested	genes_present	empirical_two_sided_p	null_abs_95th_percentile	null_evidence_log10_ratio	best_generic_adverse_aligned_g	specificity_increment_vs_best_generic
uptake_failure	TDS_16	higher_more_differentiated	biological_reference	RAI_nonavid_persistent	RAI_avid_persistent	6	7	-0.109853741525049	-0.730579501686689	0.518430061000858	-0.163465779504542	0.163465779504542	0.749563191613279	-0.506015762572262	0.160600795964057	0.846153846153846	16	16	0.72027972027972	0.898086509209159	-0.0173070645033598	1.12879005309433	-0.965324273589788
uptake_failure	IODIDE_HANDLING_11	higher_more_iodide_handling	biological_reference	RAI_nonavid_persistent	RAI_avid_persistent	6	7	-0.162740903500801	-0.923777381481564	0.508332566218951	-0.215853193869484	0.215853193869484	0.676761793826441	-0.51179051703619	0.280958242370732	0.923076923076923	11	11	0.61038961038961	0.759821084593723	-0.0448287001301598	1.12879005309433	-0.912936859224845
uptake_failure	CONDELLO_2025_SIX	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate	RAI_nonavid_persistent	RAI_avid_persistent	6	7	-0.0528420823428705	-0.485959067959564	0.428778964034524	-0.109161387935362	-0.109161387935362	0.83401281304601	-0.60890677477086	0.152960722422331	0.769230769230769	6	6	0.827172827172827	1.1016751920018	-0.00357646350535879	1.12879005309433	-1.23795144102969
uptake_failure	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	higher_more_aggressive_program	aggressiveness_negative_control	RAI_nonavid_persistent	RAI_avid_persistent	6	7	0.157541960296371	-0.117259929094609	0.497000172662898	0.490218179545647	0.490218179545647	0.425160163075131	0.0554294026041835	0.670634588478932	1	200	195	0.0729270729270729	0.508505250920842	-0.765663782318402	1.12879005309433	NA
uptake_failure	HALLMARK_HYPOXIA	higher_more_aggressive_program	aggressiveness_negative_control	RAI_nonavid_persistent	RAI_avid_persistent	6	7	0.184245507958721	0.0337437854399534	0.327548050712546	1.12879005309433	1.12879005309433	0.0541642399534071	0.935313180719178	1.77304455005078	1	200	197	0.000999000999000999	0.486151724505172	-1.73414673087234	1.12879005309433	NA
uptake_failure	HALLMARK_ANGIOGENESIS	higher_more_aggressive_program	aggressiveness_negative_control	RAI_nonavid_persistent	RAI_avid_persistent	6	7	0.280140208357785	0.0311399598308893	0.551156137997273	1.02966936598575	1.02966936598575	0.0646476412347117	0.832636649303316	1.49031029864048	1	36	34	0.047952047952048	1.01484344010113	-0.129745523729472	1.12879005309433	NA
uptake_failure	HALLMARK_G2M_CHECKPOINT	higher_more_aggressive_program	aggressiveness_negative_control	RAI_nonavid_persistent	RAI_avid_persistent	6	7	-0.207602951025339	-0.555927570089799	0.115439409846	-0.552329268709765	-0.552329268709765	0.312754804892254	-0.836240039516067	-0.321653071407982	1	200	187	0.293706293706294	0.97651692294735	-0.0272907376058005	1.12879005309433	NA
uptake_failure	HALLMARK_E2F_TARGETS	higher_more_aggressive_program	aggressiveness_negative_control	RAI_nonavid_persistent	RAI_avid_persistent	6	7	-0.232745169337703	-0.613794275094084	0.11875607634935	-0.569660703014637	-0.569660703014637	0.300524170064065	-0.846058683718244	-0.316814198610249	1	200	187	0.45954045954046	1.20943084086258	0.184444347735961	1.12879005309433	NA
uptake_failure	HALLMARK_INFLAMMATORY_RESPONSE	higher_more_aggressive_program	aggressiveness_negative_control	RAI_nonavid_persistent	RAI_avid_persistent	6	7	0.24597686044971	-0.06323097513785	0.563154870870577	0.749443772626119	0.749443772626119	0.173558532323821	0.492271418945856	1.00581155214305	1	200	198	0.18981018981019	1.097213032779	0.0388735545581716	1.12879005309433	NA
response_failure_with_uptake	TDS_16	higher_more_differentiated	biological_reference	RAI_avid_persistent	RAI_avid_remission	7	4	0.158897245314316	-0.464285700218412	0.822483330893656	0.243554946810085	-0.243554946810085	0.688821752265861	-0.205047748136032	0.657013176760092	0.909090909090909	16	16	0.507492507492508	0.715834818077683	-0.132677218420134	-0.148975523606435	-0.0945794232036496
response_failure_with_uptake	IODIDE_HANDLING_11	higher_more_iodide_handling	biological_reference	RAI_avid_persistent	RAI_avid_remission	7	4	0.0442259597917828	-0.628953877766592	0.83634692209534	0.0644672017858662	-0.0644672017858662	0.927492447129909	-0.577003799086527	0.407180803411476	0.636363636363636	11	11	0.843156843156843	0.573662306699116	-0.0414020125551314	-0.148975523606435	0.0845083218205688
response_failure_with_uptake	CONDELLO_2025_SIX	higher_more_low_avidity_like	independent_ex_vivo_avidity_candidate	RAI_avid_persistent	RAI_avid_remission	7	4	0.118710450150407	-0.182373856943743	0.432256374965012	0.315100712382378	0.315100712382378	0.610271903323263	-0.00375595527174379	0.675331359434183	0.909090909090909	6	6	0.466533466533467	0.974317781201669	-0.116640572584112	-0.148975523606435	0.464076235988813
response_failure_with_uptake	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	higher_more_aggressive_program	aggressiveness_negative_control	RAI_avid_persistent	RAI_avid_remission	7	4	-0.059006809352418	-0.206871992885476	0.0822061888934299	-0.330718580623669	-0.330718580623669	0.601208459214502	-0.640701934658739	-0.0921269354014347	1	200	195	0.022977022977023	0.283803980865423	-1.41773132409571	-0.148975523606435	NA
response_failure_with_uptake	HALLMARK_HYPOXIA	higher_more_aggressive_program	aggressiveness_negative_control	RAI_avid_persistent	RAI_avid_remission	7	4	-0.152236688927192	-0.356425054363973	0.0665622722386968	-0.738628645097768	-0.738628645097768	0.238670694864048	-1.22305649314246	-0.460271663976789	1	200	197	0.004995004995005	0.439617264397864	-1.67926317065802	-0.148975523606435	NA
response_failure_with_uptake	HALLMARK_ANGIOGENESIS	higher_more_aggressive_program	aggressiveness_negative_control	RAI_avid_persistent	RAI_avid_remission	7	4	-0.12328009470169	-0.267207126587992	0.0409810044812644	-0.664498482324622	-0.664498482324622	0.293051359516616	-1.39329494577718	-0.498060062953141	1	36	34	0.112887112887113	0.848406322254476	-0.414299374486425	-0.148975523606435	NA
response_failure_with_uptake	HALLMARK_G2M_CHECKPOINT	higher_more_aggressive_program	aggressiveness_negative_control	RAI_avid_persistent	RAI_avid_remission	7	4	-0.142846501625747	-0.623117423285573	0.288566543826024	-0.314360705042764	-0.314360705042764	0.558912386706949	-0.597797526849309	0.183045005893167	0.909090909090909	200	187	0.481518481518482	0.798443081978455	-0.0647307738677641	-0.148975523606435	NA
response_failure_with_uptake	HALLMARK_E2F_TARGETS	higher_more_aggressive_program	aggressiveness_negative_control	RAI_avid_persistent	RAI_avid_remission	7	4	-0.0747228486919519	-0.589988383829621	0.405629430001378	-0.148975523606435	-0.148975523606435	0.77643504531722	-0.493754553631132	0.30681380632211	0.818181818181818	200	187	0.786213786213786	0.894911012701529	0.00543552532417015	-0.148975523606435	NA
response_failure_with_uptake	HALLMARK_INFLAMMATORY_RESPONSE	higher_more_aggressive_program	aggressiveness_negative_control	RAI_avid_persistent	RAI_avid_remission	7	4	-0.258121969581668	-0.565164543882464	0.0557972962605948	-0.845805893907566	-0.845805893907566	0.175226586102719	-1.24414011154983	-0.514442006544846	1	200	198	0.036963036963037	0.753444013526826	-0.675832353199542	-0.148975523606435	NA
