cohort	component	observed_eigenvalue	permuted_95th_percentile	exceeds_95th_percentile	retained_sequentially
GSE151179_generic_controls	1	2.99111159910305	2.32319739081402	TRUE	TRUE
GSE151179_generic_controls	2	2.13484142693184	1.658580890365	TRUE	TRUE
GSE151179_generic_controls	3	0.49815170237869	1.24742054183595	FALSE	FALSE
GSE151179_generic_controls	4	0.280379240535168	0.976188276677271	FALSE	FALSE
GSE151179_generic_controls	5	0.0755299580352809	0.725640469065275	FALSE	FALSE
GSE151179_generic_controls	6	0.0199860730159684	0.469685901055834	FALSE	FALSE
GSE299988_generic_controls	1	3.02873682544779	2.81543751546888	TRUE	TRUE
GSE299988_generic_controls	2	2.08925576995899	1.85376067891483	TRUE	TRUE
GSE299988_generic_controls	3	0.599506667777916	1.31376322097739	FALSE	FALSE
GSE299988_generic_controls	4	0.196033951707177	0.912382741129646	FALSE	FALSE
GSE299988_generic_controls	5	0.0662209548337528	0.605074473129198	FALSE	FALSE
GSE299988_generic_controls	6	0.0202458302743676	0.280683767355137	FALSE	FALSE
GSE151179_all_programs	1	3.37205778328313	2.75761752734508	TRUE	TRUE
GSE151179_all_programs	2	2.91379837352194	2.09373104160524	TRUE	TRUE
GSE151179_all_programs	3	1.63611936381278	1.63973730929692	FALSE	FALSE
GSE151179_all_programs	4	0.571997300488152	1.30203134205847	FALSE	FALSE
GSE151179_all_programs	5	0.264985394523878	1.03501714499605	FALSE	FALSE
GSE151179_all_programs	6	0.139574480671464	0.802776449644648	FALSE	FALSE
GSE151179_all_programs	7	0.0542672664113017	0.606582055189651	FALSE	FALSE
GSE151179_all_programs	8	0.0339487952480634	0.40112851125932	FALSE	FALSE
GSE151179_all_programs	9	0.0132512420392809	0.243144974053671	FALSE	FALSE
GSE299988_all_programs	1	3.24966648201171	3.51488822955637	FALSE	FALSE
GSE299988_all_programs	2	2.53315727743008	2.45668732089289	TRUE	FALSE
GSE299988_all_programs	3	2.07496396390052	1.84946868066927	TRUE	FALSE
GSE299988_all_programs	4	0.571225432475035	1.37158771767409	FALSE	FALSE
GSE299988_all_programs	5	0.42234944560013	0.975915149912949	FALSE	FALSE
GSE299988_all_programs	6	0.102679755919802	0.651710046625573	FALSE	FALSE
GSE299988_all_programs	7	0.0402091523790286	0.388377550303007	FALSE	FALSE
GSE299988_all_programs	8	0.00567358717583906	0.174320658743811	FALSE	FALSE
GSE299988_all_programs	9	7.49031078579035e-05	0.0429215343718651	FALSE	FALSE
