signature_id	program	role	adverse_aligned_hedges_g_uptake_failure	adverse_aligned_hedges_g_response_failure_with_uptake	ci_low_uptake_failure	ci_low_response_failure_with_uptake	ci_high_uptake_failure	ci_high_response_failure_with_uptake	exact_permutation_p_uptake_failure	exact_permutation_p_response_failure_with_uptake	p_bh_18_uptake_failure	p_bh_18_response_failure_with_uptake	role_label	point_color	label_dx	label_dy	label_x	label_y	label_show
TDS_16	TDS-16	biological_reference	0.163465779504542	-0.243554946810085	-0.92427553438579	-1.61074016014236	1.40169485292198	0.905376005623577	0.749417249417249	0.687878787878788	0.872727272727273	0.872727272727273	Biological reference	#377EB8	-0.18	-0.23	-0.016534220495457996	-0.47355494681008503	TRUE
IODIDE_HANDLING_11	Iodide handling-11	biological_reference	0.215853193869484	-0.0644672017858661	-0.982219744639171	-1.32029778714071	1.21189320723333	1.15559165454689	0.676573426573427	0.927272727272727	0.872727272727273	0.927272727272727	Biological reference	#377EB8	0.22	0.22	0.435853193869484	0.1555327982141339	TRUE
CONDELLO_2025_SIX	Condello-6	independent_ex_vivo_avidity_candidate	-0.109161387935362	0.315100712382378	-1.50335635283863	-0.653095837695937	0.897976949819997	1.49019516321947	0.833916083916084	0.609090909090909	0.882969971205266	0.872727272727273	Ex vivo candidate	#D97745	-0.32	0.25	-0.429161387935362	0.565100712382378	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EMT	aggressiveness_negative_control	0.490218179545647	-0.330718580623669	-0.792968952880269	-1.38516201895371	1.42485627314039	0.770417843915842	0.424825174825175	0.6	0.84965034965035	0.872727272727273	Generic control	#7A7F87	0.3	0.2	0.790218179545647	-0.13071858062366898	FALSE
HALLMARK_HYPOXIA	Hypoxia	aggressiveness_negative_control	1.12879005309433	-0.738628645097769	0.227258832452008	-2.79861262229826	3.05965726980092	0.36333940860138	0.0536130536130536	0.236363636363636	0.576923076923077	0.702797202797203	Generic control	#7A7F87	0.04	-0.28	1.16879005309433	-1.018628645097769	TRUE
HALLMARK_ANGIOGENESIS	Angiogenesis	aggressiveness_negative_control	1.02966936598575	-0.664498482324622	0.138040126993481	-3.24446224067176	2.73151711959755	0.198126908558395	0.0641025641025641	0.290909090909091	0.576923076923077	0.702797202797203	Generic control	#7A7F87	0.33	0.1	1.3596693659857502	-0.5644984823246221	TRUE
HALLMARK_G2M_CHECKPOINT	G2M	aggressiveness_negative_control	-0.552329268709765	-0.314360705042763	-1.59232331930756	-1.71351985360937	0.501802667226513	0.767802659580483	0.312354312354312	0.557575757575758	0.702797202797203	0.872727272727273	Generic control	#7A7F87	-0.27	-0.2	-0.822329268709765	-0.514360705042763	FALSE
HALLMARK_E2F_TARGETS	E2F	aggressiveness_negative_control	-0.569660703014637	-0.148975523606435	-1.63426523235353	-1.50780942204557	0.448913686281724	0.965671592173213	0.30011655011655	0.775757575757576	0.702797202797203	0.872727272727273	Generic control	#7A7F87	-0.3	0.2	-0.869660703014637	0.051024476393565	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	Inflammatory	aggressiveness_negative_control	0.749443772626119	-0.845805893907566	-0.232868706695895	-2.50971384206775	2.08641180315154	0.19425355331075	0.173076923076923	0.172727272727273	0.702797202797203	0.702797202797203	Generic control	#7A7F87	-0.28	-0.25	0.469443772626119	-1.095805893907566	FALSE
