dataset	signature_id	program	target_compartment	estimate	conf_low	conf_high	n_donors	direction
GSE184362	CONDELLO_2025_SIX	Condello-6	T & NK cells	0.5637507608792854	0.3960832871895479	0.7390193404246336	11	target_preference
GSE184362	HALLMARK_ANGIOGENESIS	Angiogenesis	Fibroblasts	0.9183764883672091	0.830583598491125	1.0082258926308396	8	target_preference
GSE184362	HALLMARK_E2F_TARGETS	E2F targets	B cells	0.28077670458741066	0.06542982100971316	0.5160220717368186	11	target_preference
GSE184362	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EMT	Fibroblasts	1.1991098325010627	1.0583851053790325	1.3324370904103173	8	target_preference
GSE184362	HALLMARK_G2M_CHECKPOINT	G2M checkpoint	B cells	0.24386368255710317	0.05265401681952162	0.44366670619539383	11	target_preference
GSE184362	HALLMARK_HYPOXIA	Hypoxia	Fibroblasts	0.37179494519202827	0.2745594773625756	0.4802051902493996	8	target_preference
GSE184362	HALLMARK_INFLAMMATORY_RESPONSE	Inflammatory response	Myeloid cells	0.6851212579460646	0.5907447661271142	0.7727860413981871	11	target_preference
GSE184362	IODIDE_HANDLING_11	Iodide handling-11	Thyroid cells	1.7997454379058075	1.4791067049981625	2.1223207133385715	10	target_preference
GSE184362	TDS_16	TDS-16	Thyroid cells	1.610850276148853	1.2854198598925222	1.952204098031025	10	target_preference
GSE191288	CONDELLO_2025_SIX	Condello-6	T & NK cells	1.001203873760604	0.843232793874872	1.14060626279392	3	target_preference
GSE191288	HALLMARK_ANGIOGENESIS	Angiogenesis	Fibroblasts	0.9056575171585927	0.709535273858398	1.00631347149162	3	target_preference
GSE191288	HALLMARK_E2F_TARGETS	E2F targets	B cells	-0.7341782999241315	NA	NA	2	not_estimable
GSE191288	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EMT	Fibroblasts	1.0483225968187266	1.00429927726393	1.09292019028077	3	target_preference
GSE191288	HALLMARK_G2M_CHECKPOINT	G2M checkpoint	B cells	-0.6036799161025418	NA	NA	2	not_estimable
GSE191288	HALLMARK_HYPOXIA	Hypoxia	Fibroblasts	0.28447860931641333	0.139838037757232	0.365595667324277	3	target_preference
GSE191288	HALLMARK_INFLAMMATORY_RESPONSE	Inflammatory response	Myeloid cells	0.8588697710797454	0.798106201269644	0.940408326416108	3	target_preference
GSE191288	IODIDE_HANDLING_11	Iodide handling-11	Thyroid cells	2.2102745876663	1.9080458680825	2.50346514108948	3	target_preference
GSE191288	TDS_16	TDS-16	Thyroid cells	1.81948713774068	1.4234930187231	2.14698561937961	3	target_preference
GSE281736	CONDELLO_2025_SIX	Condello-6	T & NK cells	0.8919827940279741	0.7512082489108375	1.019427575006105	6	target_preference
GSE281736	HALLMARK_ANGIOGENESIS	Angiogenesis	Fibroblasts	0.836563068592674	0.7494110542760899	0.9185341045609687	6	target_preference
GSE281736	HALLMARK_E2F_TARGETS	E2F targets	B cells	1.0363637442142966	0.5309744349417148	1.5519229576138196	6	target_preference
GSE281736	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EMT	Fibroblasts	1.1571415949215176	0.9622410655734619	1.3920022040872821	6	target_preference
GSE281736	HALLMARK_G2M_CHECKPOINT	G2M checkpoint	B cells	0.7231813642706314	0.2795490093603786	1.1668137191808843	6	target_preference
GSE281736	HALLMARK_HYPOXIA	Hypoxia	Fibroblasts	0.32208260060849037	0.23381644874227367	0.40215968568744337	6	target_preference
GSE281736	HALLMARK_INFLAMMATORY_RESPONSE	Inflammatory response	Myeloid cells	0.595253722664707	0.48492701550941486	0.7022001634021794	6	target_preference
GSE281736	IODIDE_HANDLING_11	Iodide handling-11	Thyroid cells	2.234093537611822	1.8312296398058985	2.76668285055988	6	target_preference
GSE281736	TDS_16	TDS-16	Thyroid cells	1.926787510008455	1.4936934742595316	2.4782873785113084	6	target_preference
