dataset	signature_id	annotation_method	target_compartment	paired_donors	estimate	bootstrap_ci_low	bootstrap_ci_high	target_is_top_compartment	program	method	top_status
GSE184362	CONDELLO_2025_SIX	primary_hybrid	T & NK cells	11	0.5637507608792854	0.3960832871895479	0.7390193404246336	TRUE	Condello-6	Primary hybrid	Frozen target was top compartment
GSE184362	IODIDE_HANDLING_11	primary_hybrid	Thyroid cells	10	1.7997454379058075	1.4791067049981623	2.1223207133385715	TRUE	Iodide handling-11	Primary hybrid	Frozen target was top compartment
GSE184362	TDS_16	primary_hybrid	Thyroid cells	10	1.610850276148853	1.2854198598925222	1.952204098031025	TRUE	TDS-16	Primary hybrid	Frozen target was top compartment
GSE191288	CONDELLO_2025_SIX	primary_hybrid	T & NK cells	3	1.001203873760604	0.843232793874872	1.14060626279392	TRUE	Condello-6	Primary hybrid	Frozen target was top compartment
GSE191288	IODIDE_HANDLING_11	primary_hybrid	Thyroid cells	3	2.2102745876663	1.9080458680825	2.50346514108948	TRUE	Iodide handling-11	Primary hybrid	Frozen target was top compartment
GSE191288	TDS_16	primary_hybrid	Thyroid cells	3	1.81948713774068	1.4234930187231	2.14698561937961	TRUE	TDS-16	Primary hybrid	Frozen target was top compartment
GSE281736	CONDELLO_2025_SIX	primary_hybrid	T & NK cells	6	0.8919827940279741	0.7512082489108375	1.019427575006105	TRUE	Condello-6	Primary hybrid	Frozen target was top compartment
GSE281736	IODIDE_HANDLING_11	primary_hybrid	Thyroid cells	6	2.234093537611822	1.8312296398058985	2.76668285055988	TRUE	Iodide handling-11	Primary hybrid	Frozen target was top compartment
GSE281736	TDS_16	primary_hybrid	Thyroid cells	6	1.926787510008455	1.4936934742595316	2.4782873785113084	TRUE	TDS-16	Primary hybrid	Frozen target was top compartment
GSE184362	TDS_16	leave_program_genes_out_hybrid	Thyroid cells	10	1.64534054155185	1.32446497647661	1.98182169926353	TRUE	TDS-16	Leave-program-genes-out	Frozen target was top compartment
GSE184362	TDS_16	SingleR_only	Thyroid cells	9	1.01896999448562	0.819676717638618	1.2048382744897	FALSE	TDS-16	SingleR only	Frozen target was not top compartment
GSE184362	IODIDE_HANDLING_11	leave_program_genes_out_hybrid	Thyroid cells	10	1.85108995270674	1.52466910434722	2.16562505491862	TRUE	Iodide handling-11	Leave-program-genes-out	Frozen target was top compartment
GSE184362	IODIDE_HANDLING_11	SingleR_only	Thyroid cells	9	1.20984185009779	0.952020240869559	1.41082733820441	TRUE	Iodide handling-11	SingleR only	Frozen target was top compartment
GSE184362	CONDELLO_2025_SIX	leave_program_genes_out_hybrid	T & NK cells	11	0.563750760879286	0.395619364133077	0.743989945594746	TRUE	Condello-6	Leave-program-genes-out	Frozen target was top compartment
GSE184362	CONDELLO_2025_SIX	SingleR_only	T & NK cells	11	0.521071321565873	0.361218533314399	0.688746074878334	TRUE	Condello-6	SingleR only	Frozen target was top compartment
GSE191288	TDS_16	leave_program_genes_out_hybrid	Thyroid cells	3	1.81948713774068	1.4234930187231	2.14698561937961	TRUE	TDS-16	Leave-program-genes-out	Frozen target was top compartment
GSE191288	TDS_16	SingleR_only	Thyroid cells	3	1.38597190177265	1.17305058440826	1.72663636741913	TRUE	TDS-16	SingleR only	Frozen target was top compartment
GSE191288	IODIDE_HANDLING_11	leave_program_genes_out_hybrid	Thyroid cells	3	2.2102745876663	1.9080458680825	2.50346514108948	TRUE	Iodide handling-11	Leave-program-genes-out	Frozen target was top compartment
GSE191288	IODIDE_HANDLING_11	SingleR_only	Thyroid cells	3	1.51141206259568	1.2553942103546	1.87836004099177	TRUE	Iodide handling-11	SingleR only	Frozen target was top compartment
GSE191288	CONDELLO_2025_SIX	leave_program_genes_out_hybrid	T & NK cells	3	1.0012038737606	0.843232793874872	1.14060626279392	TRUE	Condello-6	Leave-program-genes-out	Frozen target was top compartment
GSE191288	CONDELLO_2025_SIX	SingleR_only	T & NK cells	3	0.914696062432538	0.8216460158718	0.9713085964793	TRUE	Condello-6	SingleR only	Frozen target was top compartment
GSE281736	TDS_16	leave_program_genes_out_hybrid	Thyroid cells	6	1.92678751000845	1.49369347425953	2.45712093127654	TRUE	TDS-16	Leave-program-genes-out	Frozen target was top compartment
GSE281736	TDS_16	SingleR_only	Thyroid cells	6	1.91696737530462	1.50590362885675	2.43300390258398	TRUE	TDS-16	SingleR only	Frozen target was top compartment
GSE281736	IODIDE_HANDLING_11	leave_program_genes_out_hybrid	Thyroid cells	6	2.23409353761182	1.8312296398059	2.74716839688135	TRUE	Iodide handling-11	Leave-program-genes-out	Frozen target was top compartment
GSE281736	IODIDE_HANDLING_11	SingleR_only	Thyroid cells	6	2.22081905992539	1.8509692331696601	2.72608581597552	TRUE	Iodide handling-11	SingleR only	Frozen target was top compartment
GSE281736	CONDELLO_2025_SIX	leave_program_genes_out_hybrid	T & NK cells	6	0.891982794027974	0.751009416321824	1.02832243571138	TRUE	Condello-6	Leave-program-genes-out	Frozen target was top compartment
GSE281736	CONDELLO_2025_SIX	SingleR_only	T & NK cells	6	0.915600826453126	0.777568474335964	1.03566584790257	TRUE	Condello-6	SingleR only	Frozen target was top compartment
